time	V(buf)
1.031962531410190e-02	-2.570129e+00
1.031963809204243e-02	-2.569979e+00
1.031964633909510e-02	-2.570273e+00
1.031965390260806e-02	-2.570855e+00
1.031966193746658e-02	-2.571516e+00
1.031967241584238e-02	-2.572368e+00
1.031969053498252e-02	-2.573600e+00
1.031972677326279e-02	-2.575253e+00
1.031977101196601e-02	-2.576215e+00
1.031981343869388e-02	-2.576309e+00
1.031987248531904e-02	-2.575774e+00
1.031994283992184e-02	-2.574859e+00
1.032002201736776e-02	-2.573899e+00
1.032012671810552e-02	-2.572983e+00
1.032025035149780e-02	-2.572319e+00
1.032043049810605e-02	-2.571728e+00
1.032061896995535e-02	-2.571205e+00
1.032088491845932e-02	-2.570380e+00
1.032120833314515e-02	-2.569308e+00
1.032174305096105e-02	-2.567565e+00
1.032242032451183e-02	-2.565364e+00
1.032355101663070e-02	-2.561676e+00
1.032581240086844e-02	-2.554300e+00
1.032993109995453e-02	-2.540858e+00
1.033587647500626e-02	-2.521446e+00
1.034569222755316e-02	-2.489390e+00
1.048184085319790e-02	-2.044742e+00
1.061798947884265e-02	-1.600402e+00
1.075413810448739e-02	-1.156370e+00
1.089028673013214e-02	-7.126461e-01
1.102643535577689e-02	-2.692303e-01
1.116258398142163e-02	1.738775e-01
1.129873260706638e-02	6.166772e-01
1.136848707135209e-02	8.434061e-01
1.143824153563780e-02	1.070047e+00
1.150799599992352e-02	1.296601e+00
1.157775046420923e-02	1.523068e+00
1.164750492849494e-02	1.749446e+00
1.171725939278065e-02	1.975738e+00
1.178701385706637e-02	2.201941e+00
1.182607635706637e-02	2.328576e+00
1.184560760706637e-02	2.391882e+00
1.186513885706636e-02	2.455182e+00
1.186758026331636e-02	2.463094e+00
1.187246307581637e-02	2.478917e+00
1.187350795549794e-02	2.482302e+00
1.187559771486108e-02	2.489071e+00
1.187598327500643e-02	2.490318e+00
1.187607966504277e-02	2.490629e+00
1.187627244511544e-02	2.491250e+00
1.187632064013361e-02	2.491405e+00
1.187641703016995e-02	2.491709e+00
1.187660981024262e-02	2.492303e+00
1.187665800526079e-02	2.492432e+00
1.187675439529713e-02	2.492620e+00
1.187677849280621e-02	2.492593e+00
1.187682668782438e-02	2.492324e+00
1.187683644698523e-02	2.492218e+00
1.187685596530694e-02	2.492150e+00
1.187688470987701e-02	2.492638e+00
1.187691946248222e-02	2.493309e+00
1.187694440818064e-02	2.493338e+00
1.187696459453162e-02	2.493219e+00
1.187698388206675e-02	2.493208e+00
1.187701200541766e-02	2.493248e+00
1.187704223145146e-02	2.493318e+00
1.187707211801745e-02	2.493445e+00
1.187708758914463e-02	2.493517e+00
1.187710624722647e-02	2.493535e+00
1.187711968629514e-02	2.493531e+00
1.187713482377709e-02	2.493544e+00
1.187715524755515e-02	2.493559e+00
1.187718254162169e-02	2.493582e+00
1.187721185184984e-02	2.493600e+00
1.187724507852725e-02	2.493597e+00
1.187727385822004e-02	2.493555e+00
1.187729518997981e-02	2.493500e+00
1.187731858623004e-02	2.493426e+00
1.187734601848624e-02	2.493331e+00
1.187737379496505e-02	2.493227e+00
1.187740958208626e-02	2.493090e+00
1.187745286947436e-02	2.492924e+00
1.187751316857792e-02	2.492698e+00
1.187759648009940e-02	2.492399e+00
1.187770049031687e-02	2.492043e+00
1.187782964184280e-02	2.491612e+00
1.187799883021300e-02	2.491053e+00
1.187820412861406e-02	2.490374e+00
1.187845513608413e-02	2.489542e+00
1.187876097606922e-02	2.488528e+00
1.187917417305440e-02	2.487156e+00
1.187976899379302e-02	2.485182e+00
1.188071860966299e-02	2.482031e+00
1.188124908575268e-02	2.480268e+00
1.188171462649931e-02	2.478720e+00
1.188223180095018e-02	2.477001e+00
1.188271634056739e-02	2.475391e+00
1.188316635072158e-02	2.473894e+00
1.188383252319178e-02	2.471680e+00
1.188476188880311e-02	2.468589e+00
1.189021286843451e-02	2.450459e+00
1.193793479564199e-02	2.291673e+00
1.198565672284947e-02	2.132891e+00
1.203337865005694e-02	1.974111e+00
1.208110057726442e-02	1.815336e+00
1.212882250447190e-02	1.656564e+00
1.217654443167938e-02	1.497795e+00
1.222426635888686e-02	1.339030e+00
1.236935564460114e-02	8.563872e-01
1.251444493031542e-02	3.738255e-01
1.265953421602971e-02	-1.086547e-01
1.280462350174399e-02	-5.910533e-01
1.294971278745827e-02	-1.073370e+00
1.309480207317255e-02	-1.555606e+00
1.323989135888684e-02	-2.037760e+00
1.325663243031541e-02	-2.093386e+00
1.327337350174398e-02	-2.149011e+00
1.329011457317255e-02	-2.204634e+00
1.330685564460112e-02	-2.260256e+00
1.332359671602969e-02	-2.315877e+00
1.334033778745826e-02	-2.371496e+00
1.335707885888683e-02	-2.427114e+00
1.337661010888683e-02	-2.492000e+00
1.339614135888683e-02	-2.556884e+00
1.339722835604772e-02	-2.560495e+00
1.339750010533794e-02	-2.561398e+00
1.339804360391838e-02	-2.563203e+00
1.339913060107926e-02	-2.566813e+00
1.339940235036948e-02	-2.567715e+00
1.339994584894992e-02	-2.569517e+00
1.340008172359503e-02	-2.569965e+00
1.340011569225631e-02	-2.570076e+00
1.340018362957886e-02	-2.570297e+00
1.340020061390950e-02	-2.570351e+00
1.340023458257078e-02	-2.570457e+00
1.340030251989334e-02	-2.570659e+00
1.340031950422397e-02	-2.570702e+00
1.340035347288525e-02	-2.570767e+00
1.340036196505057e-02	-2.570775e+00
1.340037894938121e-02	-2.570726e+00
1.340041291804249e-02	-2.570429e+00
1.340041948834026e-02	-2.570241e+00
1.340043262893579e-02	-2.569332e+00
1.340044968425503e-02	-2.567095e+00
1.340046624931793e-02	-2.563753e+00
1.340048538917170e-02	-2.559698e+00
1.340050897848935e-02	-2.556806e+00
1.340052895446416e-02	-2.557027e+00
1.340054854867501e-02	-2.559046e+00
1.340058008555506e-02	-2.563199e+00
1.340061378450703e-02	-2.567065e+00
1.340062871567934e-02	-2.567613e+00
1.340064166355006e-02	-2.567463e+00
1.340065000061051e-02	-2.567760e+00
1.340065763188662e-02	-2.568342e+00
1.340066572824296e-02	-2.568996e+00
1.340067622949990e-02	-2.569832e+00
1.340069437080727e-02	-2.571033e+00
1.340073065342201e-02	-2.572639e+00
1.340077508023621e-02	-2.573567e+00
1.340081772018583e-02	-2.573648e+00
1.340087692755445e-02	-2.573112e+00
1.340094752498327e-02	-2.572206e+00
1.340102710160261e-02	-2.571257e+00
1.340113260653126e-02	-2.570349e+00
1.340125715260240e-02	-2.569691e+00
1.340143860735615e-02	-2.569100e+00
1.340162859796819e-02	-2.568570e+00
1.340189809240116e-02	-2.567729e+00
1.340223249531925e-02	-2.566622e+00
1.340276209131487e-02	-2.564896e+00
1.340348202466178e-02	-2.562556e+00
1.340461662938335e-02	-2.558855e+00
1.340688583882647e-02	-2.551454e+00
1.341106157304932e-02	-2.537825e+00
1.341711639802817e-02	-2.518056e+00
1.342707152800223e-02	-2.485545e+00
1.356324944425772e-02	-2.040804e+00
1.369942736051320e-02	-1.596371e+00
1.383560527676869e-02	-1.152246e+00
1.397178319302417e-02	-7.084294e-01
1.410796110927966e-02	-2.649212e-01
1.424413902553514e-02	1.782787e-01
1.438031694179063e-02	6.211703e-01
1.445007140607634e-02	8.478975e-01
1.451982587036205e-02	1.074537e+00
1.458958033464776e-02	1.301089e+00
1.465933479893348e-02	1.527554e+00
1.472908926321919e-02	1.753931e+00
1.479884372750490e-02	1.980220e+00
1.486859819179061e-02	2.206422e+00
1.490766069179061e-02	2.333056e+00
1.492719194179061e-02	2.396362e+00
1.494672319179061e-02	2.459661e+00
1.494916459804061e-02	2.467573e+00
1.495404741054061e-02	2.483395e+00
1.495451291107164e-02	2.484903e+00
1.495544391213371e-02	2.487919e+00
1.495567666239923e-02	2.488672e+00
1.495614216293026e-02	2.490178e+00
1.495625853806301e-02	2.490553e+00
1.495649128832853e-02	2.491302e+00
1.495654947589491e-02	2.491488e+00
1.495666585102767e-02	2.491858e+00
1.495669494481086e-02	2.491949e+00
1.495675313237724e-02	2.492126e+00
1.495686950751000e-02	2.492462e+00
1.495689860129319e-02	2.492533e+00
1.495695678885956e-02	2.492641e+00
1.495697133575116e-02	2.492652e+00
1.495700042953435e-02	2.492638e+00
1.495700770298015e-02	2.492622e+00
1.495702224987174e-02	2.492534e+00
1.495705134365493e-02	2.492276e+00
1.495708827093909e-02	2.492491e+00
1.495712468727136e-02	2.493274e+00
1.495715235726596e-02	2.493407e+00
1.495717299467963e-02	2.493254e+00
1.495719271578336e-02	2.493243e+00
1.495721981666023e-02	2.493274e+00
1.495725025622931e-02	2.493342e+00
1.495729068329986e-02	2.493496e+00
1.495730994005996e-02	2.493564e+00
1.495732760729476e-02	2.493568e+00
1.495734273905554e-02	2.493567e+00
1.495735672393637e-02	2.493581e+00
1.495737117568733e-02	2.493590e+00
1.495738921997184e-02	2.493606e+00
1.495740989987925e-02	2.493619e+00
1.495745125969406e-02	2.493623e+00
1.495748097524934e-02	2.493588e+00
1.495750257429161e-02	2.493535e+00
1.495752719410816e-02	2.493458e+00
1.495755045623756e-02	2.493378e+00
1.495757434791024e-02	2.493290e+00
1.495760358771052e-02	2.493178e+00
1.495763783614910e-02	2.493046e+00
1.495768700579637e-02	2.492858e+00
1.495775667269531e-02	2.492602e+00
1.495785854113869e-02	2.492244e+00
1.495795930055219e-02	2.491904e+00
1.495811865629132e-02	2.491376e+00
1.495829012581358e-02	2.490809e+00
1.495853251261802e-02	2.490006e+00
1.495878751703066e-02	2.489161e+00
1.495915721460617e-02	2.487934e+00
1.495961238837906e-02	2.486423e+00
1.496037357041944e-02	2.483896e+00
1.496088860801622e-02	2.482188e+00
1.496133332908595e-02	2.480711e+00
1.496171053284755e-02	2.479456e+00
1.496213315804496e-02	2.478052e+00
1.496252650800590e-02	2.476745e+00
1.496293148303569e-02	2.475398e+00
1.496371245967371e-02	2.472802e+00
1.496507800674084e-02	2.468261e+00
1.496780910087509e-02	2.459178e+00
1.500088264520853e-02	2.349145e+00
1.518224425235138e-02	1.745680e+00
1.536360585949424e-02	1.142332e+00
1.554496746663709e-02	5.391031e-01
1.572632907377994e-02	-6.400770e-02
1.590769068092280e-02	-6.670002e-01
1.608905228806565e-02	-1.269874e+00
1.627041389520850e-02	-1.872630e+00
1.629273532377993e-02	-1.946803e+00
1.631505675235136e-02	-2.020974e+00
1.633737818092279e-02	-2.095142e+00
1.635969960949421e-02	-2.169307e+00
1.638202103806564e-02	-2.243471e+00
1.640434246663707e-02	-2.317632e+00
1.642666389520850e-02	-2.391791e+00
1.644619514520850e-02	-2.456678e+00
1.646572639520850e-02	-2.521563e+00
1.646816780145850e-02	-2.529674e+00
1.647305061395850e-02	-2.545895e+00
1.647427131708350e-02	-2.549950e+00
1.647671272333350e-02	-2.558060e+00
1.647732307489600e-02	-2.560087e+00
1.647854377802100e-02	-2.564142e+00
1.647884895380225e-02	-2.565156e+00
1.647945930536475e-02	-2.567183e+00
1.648068000848974e-02	-2.571235e+00
1.648090646367350e-02	-2.571984e+00
1.648096307746944e-02	-2.572169e+00
1.648107630506132e-02	-2.572535e+00
1.648110461195929e-02	-2.572623e+00
1.648116122575523e-02	-2.572790e+00
1.648117537920422e-02	-2.572826e+00
1.648120368610219e-02	-2.572840e+00
1.648126029989813e-02	-2.572642e+00
1.648126795421969e-02	-2.572468e+00
1.648128326286283e-02	-2.571528e+00
1.648130051559270e-02	-2.569434e+00
1.648131757559004e-02	-2.566128e+00
1.648133732905363e-02	-2.561951e+00
1.648135993237694e-02	-2.558996e+00
1.648137980472278e-02	-2.559002e+00
1.648139915662581e-02	-2.560850e+00
1.648142894355528e-02	-2.564739e+00
1.648146333345457e-02	-2.568861e+00
1.648147858268195e-02	-2.569560e+00
1.648149282543358e-02	-2.569460e+00
1.648150143076529e-02	-2.569756e+00
1.648150922552620e-02	-2.570354e+00
1.648151856771979e-02	-2.571129e+00
