"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"BOM";"C3";"CIIVA_IDS";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"COMPONENT_LINK_4_DESCRIPTION";"COMPONENT_LINK_4_URL";"DAC_OUTPUTS";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"HEIGHT";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_V";"MF";"MOUNTING_TECHNOLOGY";"MOUSER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"OP_PWR_DISS";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PACKING";"PIN_0_0_6_INSIDE_EDGE";"POPULARITY";"PREFIX";"PRICE";"RELEASE_DATE";"RESOLUTION_BITS";"ROHS";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SETTLING_TIME";"SINGLE_SUPPLY";"SPICEPREFIX";"VAULT_GUID";"VAULT_REVISION";
"8";"470n";"C-EUC0805";"C0805";"C17, C18, C19, C20, C21, C22, C23, C24";"CAPACITOR, European symbol";"";"";"0.47 micro";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"1";"470n";"C-EUC0805";"C0805";"C41";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"2";"47k";"R-EU_R0805";"R0805";"R60, R69";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"4";"5.6k";"R-EU_R0805";"R0805";"R14, R15, R16, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"1";"51k";"R-EU_R0805";"R0805";"R55";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"8";"560p";"C-EUC0805";"C0805";"C25, C26, C27, C28, C29, C30, C31, C32";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"2";"68k";"R-EU_R0805";"R0805";"R2, R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"1";"75867-331LF";"MA03-2";"MA03-2";"STLINK";"Headers & Wire Housing, 2 Row, 6 Position";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"649-75867-331LF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"8.2k";"R-EU_R0805";"R0805";"R44, R45";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"2";"820";"R-EU_R0805";"R0805";"R9, R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"4";"91k";"R-EU_R0805";"R0805";"R59, R64, R70, R76";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"1";"ADG453BRZ";"ADG453BRZ";"SOIC127P600X175-16N";"ADG453";"Analog Devices ADG453BRZ, Analogue SPST Switch Quad SPST, 9 V, 16-Pin SOIC";"";"";"";"";"";"";"";"";"";"";"";"";"";"Analog Devices ADG453BRZ, Analogue SPST Switch Quad SPST, 9 V, 16-Pin SOIC";"";"";"";"";"1.75mm";"";"";"";"Analog Devices";"ADG453BRZ";"";"";"";"";"584-ADG453BRZ";"https://www.mouser.com/Search/Refine.aspx?Keyword=584-ADG453BRZ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0412539P";"http://uk.rs-online.com/web/p/products/0412539P";"";"";"";"";"";
